States,Average Income
Maryland,"$83,242"
New Jersey,"$81,740"
Hawaii,"$80,212"
Massachusetts,"$79,835"
Connecticut,"$76,348"
California,"$75,277"
New Hampshire,"$74,991"
Alaska,"$74,346"
Washington,"$74,073"
Virginia,"$72,577"
Colorado,"$71,953"
Utah,"$71,414"
Minnesota,"$70,315"
New York,"$67,844"
Illinois,"$65,030"
Delaware,"$64,805"
Rhode Island,"$64,340"
North Dakota,"$63,837"
Oregon,"$63,426"
Wyoming,"$61,584"
Pennsylvania,"$60,905"
Vermont,"$60,782"
Wisconsin,"$60,773"
Texas,"$60,629"
Iowa,"$59,955"
Nebraska,"$59,566"
Arizona,"$59,246"
Georgia,"$58,756"
Nevada,"$58,646"
Kansas,"$58,218"
Michigan,"$56,697"
South Dakota,"$56,274"
Ohio,"$56,111"
Indiana,"$55,746"
Maine,"$55,602"
Idaho,"$55,583"
Florida,"$55,462"
Montana,"$55,328"
Missouri,"$54,478"
North Carolina,"$53,855"
Tennessee,"$52,375"
South Carolina,"$52,306"
Oklahoma,"$51,924"
Kentucky,"$50,247"
Alabama,"$49,861"
Louisiana,"$47,905"
New Mexico,"$47,169"
Arkansas,"$47,062"
Mississippi,"$44,717"
West Virginia,"$44,097"
