State,Number of Buger King
Alabama,8.00
Alaska,164.00
Arizona,163.00
Arkansas,127.00
California,583.00
Colorado,123.00
Connecticut,65.00
Delaware,20.00
Florida,561.00
Georgia,260.00
Hawaii,31.00
Idaho,35.00
Illinois,304.00
Indiana,192.00
Iowa,82.00
Kansas,67.00
Kentucky,98.00
Louisiana,163.00
Maine,34.00
Maryland,126.00
Massachusetts,122.00
Michigan,306.00
Minnesota,126.00
Mississippi,83.00
Missouri,123.00
Montana,21.00
Nebraska,66.00
Nevada,67.00
New Hampshire,30.00
New Jersey,192.00
New Mexico,50.00
New York,334.00
North Carolina,244.00
North Dakota,21.00
Ohio,338.00
Oklahoma,57.00
Oregon,87.00
Pennsylvania,273.00
Rhode Island,27.00
South Carolina,150.00
South Dakota,27.00
Tennessee,179.00
Texas,531.00
Utah,72.00
Vermont,7.00
Virginia,204.00
Washington,119.00
West Virginia,60.00
Wisconsin,115.00
Wyoming,18.00
