State,Number of McDonalds
California,1165
Texas,834
Florida,728
New York,655
Illinois,647
Ohio,616
Michigan,545
Pennsylvania,497
Virginia,382
North Carolina,374
Georgia,365
Indiana,326
Missouri,299
Tennessee,285
Wisconsin,285
Maryland,280
New Jersey,261
Washington,251
Massachusetts,249
Louisiana,226
Kentucky,221
Arizona,212
Alabama,210
Minnesota,203
Colorado,181
South Carolina,180
Oklahoma,155
Oregon,152
Kansas,147
Connecticut,143
Iowa,131
Nevada,128
Arkansas,127
Mississippi,124
West Virginia,90
Utah,89
New Mexico,80
Hawaii,76
Nebraska,71
New Hampshire,62
Maine,58
Idaho,50
Montana,41
Rhode Island,35
Delaware,34
South Dakota,29
Vermont,29
Alaska,27
Wyoming,24
North Dakota,22
