State,Number of Starbucks
Alabama,85.00
Alaska,49.00
Arizona,488.00
Arkansas,55.00
California,2821.00
Colorado,481.00
Connecticut,123.00
Delaware,25.00
Florida,694.00
Georgia,326.00
Hawaii,99.00
Idaho,67.00
Illinois,575.00
Indiana,221.00
Iowa,89.00
Kansas,94.00
Kentucky,116.00
Louisiana,84.00
Maine,30.00
Maryland,257.00
Massachusetts,273.00
Michigan,283.00
Minnesota,184.00
Mississippi,32.00
Missouri,188.00
Montana,36.00
Nebraska,58.00
Nevada,253.00
New Hampshire,29.00
New Jersey,261.00
New Mexico,76.00
New York,645.00
North Carolina,338.00
North Dakota,13.00
Ohio,378.00
Oklahoma,79.00
Oregon,359.00
Pennsylvania,357.00
Rhode Island,27.00
South Carolina,131.00
South Dakota,25.00
Tennessee,180.00
Texas,1042.00
Utah,101.00
Vermont,8.00
Virginia,432.00
Washington,757.00
West Virginia,25.00
Wisconsin,145.00
Wyoming,23.00
