State,Number of Subway
Alabama,418.00
Alaska,62.00
Arizona,412.00
Arkansas,270.00
California,2353.00
Colorado,394.00
Connecticut,306.00
Delaware,27.00
Florida,1349.00
Georgia,788.00
Hawaii,110.00
Idaho,125.00
Illinois,1060.00
Indiana,616.00
Iowa,293.00
Kansas,249.00
Kentucky,389.00
Louisiana,449.00
Maine,111.00
Maryland,441.00
Massachusetts,341.00
Michigan,869.00
Minnesota,446.00
Mississippi,297.00
Missouri,517.00
Montana,81.00
Nebraska,195.00
Nevada,198.00
New Hampshire,90.00
New Jersey,216.00
New Mexico,169.00
New York,932.00
North Carolina,778.00
North Dakota,68.00
Ohio,1069.00
Oklahoma,359.00
Oregon,284.00
Pennsylvania,765.00
Rhode Island,73.00
South Carolina,374.00
South Dakota,94.00
Tennessee,588.00
Texas,2022.00
Utah,204.00
Vermont,646.00
Virginia,553.00
Washington,67.00
West Virginia,180.00
Wisconsin,541.00
Wyoming,61.00
