State,Percent of obesities
Mississippi,0.41
West Virginia,0.40
Arkansas,0.37
Oklahoma,0.37
Kentucky,0.37
Tennessee,0.37
Alabama,0.36
Michigan,0.36
Louisiana,0.36
South Carolina,0.35
Indiana,0.35
Kansas,0.35
Missouri,0.35
North Dakota,0.35
Ohio,0.35
Delaware,0.34
Wisconsin,0.34
Nebraska,0.34
North Carolina,0.34
Texas,0.34
Iowa,0.34
Pennsylvania,0.33
Georgia,0.33
South Dakota,0.33
Maryland,0.32
Virginia,0.32
New Hampshire,0.32
Maine,0.32
New Mexico,0.32
Illinois,0.32
Arizona,0.31
Nevada,0.31
Alaska,0.31
Minnesota,0.30
Rhode Island,0.30
Wyoming,0.30
Idaho,0.30
Utah,0.29
Connecticut,0.29
Oregon,0.29
Montana,0.28
Washington,0.28
New York,0.27
Florida,0.27
Vermont,0.27
California,0.26
Massachusetts,0.25
Hawaii,0.25
Colorado,0.24
New Jersey,0.28
