Restaurant,Category,Items,Cost (USD),Calories,Protein (g),Fat (g),Carbs (g),Sugar (g),Sodium (g)
burgerking,Breakfast,"BK - Bacon, Egg & Cheese Biscuit",2.99,400,13,26,29,3,1.27
burgerking,Breakfast,BK - Breakfast Burrito Jr.,1,370,15,23,27,2,0.93
burgerking,Breakfast,"BK - CROISSAN’WICH® Bacon, Egg & Cheese ",2.99,370,14,21,30,4,0.76
burgerking,Breakfast,BK - CROISSAN’WICH® Egg & Cheese,2.99,340,12,18,29,4,0.61
burgerking,Breakfast,"BK - CROISSAN’WICH® Ham, Egg & Cheese",2.99,370,17,19,30,5,1.03
burgerking,Breakfast,"BK - CROISSAN’WICH® Sausage, Egg & Cheese",2.99,500,19,33,30,4,0.93
burgerking,Breakfast,BK - French Toast Sticks (3 piece) ,1,230,3,11,29,8,0.26
burgerking,Breakfast,"BK - Ham, Egg, & Cheese Biscuit ",2.99,400,17,24,29,3,1.55
burgerking,Breakfast,BK - Hash Browns – medium,1.69,500,4,33,48,0,1.14
burgerking,Breakfast,BK - Pancake and Sausage platter,3.69,610,12,31,72,30,1.01
burgerking,Breakfast,BK - Sausage Biscuit ,1,420,12,28,28,2,1.05
burgerking,Breakfast,"BK - Sausage, Egg, & Cheese Biscuit",2.99,530,19,38,29,3,1.44
burgerking,Breakfast,BK - French Toast Sticks (5 piece),1.99,380,5,18,49,13,0.43
burgerking,Dessert,BK - Soft Serve Cone,1.00,190,5,4.5,32,24,0.15
burgerking,Dessert,BK - Soft Serve Cup,1.00,170,5,4.5,28,24,0.15
burgerking,Dessert,BK - Sundae,1.59,260,5,5,49,43,0.16
burgerking,Drink,BK - Barq’s® Root Beer,2.09,300,0,0,81,81,0.12
burgerking,Drink,BK - BK® Café Caramel Frappe,2.89,400,9,10,68,56,0.28
burgerking,Drink,BK - BK® Café Iced Mocha Coffee,2.89,240,2,10,35,32,0.055
burgerking,Drink,BK - BK® Café Iced Vanilla Coffee,2.89,200,2,10,27,27,0.04
burgerking,Drink,BK - BK® Café Mocha Frappe,2.89,400,9,10,68,58,0.27
burgerking,Drink,BK - Capri Sun® 100% Apple Juice,1.29,80,0,0,20,20,0.025
burgerking,Drink,BK - Cherry Coke® ,2.09,280,0,0,76,76,0.07
burgerking,Drink,BK - Coca Cola classic® ,2.09,270,0,0,73,73,0.06
burgerking,Drink,BK - Diet Coke® ,2.09,0,0,0,0,0,0.085
burgerking,Drink,BK - Dr. Pepper®,2.09,240,0,0,65,64,0.075
burgerking,Drink,BK - Fanta® Orange,2.09,280,0,0,78,77,0.07
burgerking,Drink,BK - Hi-C® Fruit Punch,2.09,280,0,0,77,75,0.095
