Restaurant,Category,Items,Cost (USD),Calories,Protein (g),Fat (g),Carbs (g),Sugar (g),Sodium (g)
burgerking,Sandwich,Whopper® Sandwich,4.19,660,28,40,49,11,0.98
burgerking,Sandwich,Double Whopper® Sandwich,5.29,900,48,58,49,11,1.05
burgerking,Sandwich,Triple Whopper® Sandwich,6.39,1130,67,75,49,11,1.12
burgerking,Sandwich,Whopper JR.® Sandwich,2.19,310,13,18,27,7,0.39
burgerking,Sandwich,Bacon King Sandwich,6.99,1150,61,79,49,10,2.15
burgerking,Sandwich,IMPOSSIBLE Whopper® Sandwich,5.49,630,25,34,58,12,1.08
burgerking,Sandwich,Hamburger,1,240,13,10,26,6,0.38
burgerking,Sandwich,Cheeseburger,1,280,15,13,27,7,0.56
burgerking,Sandwich,Double Cheeseburger,1.69,390,23,21,27,7,0.59
burgerking,Sandwich,Bacon Cheeseburger,1.49,320,17,16,27,7,0.71
burgerking,Sandwich,Bacon Double Cheeseburger,2.09,420,25,24,27,7,0.74
burgerking,Sandwich,Crispy Chicken Sandwich,4.99,670,23,41,54,8,1.08
burgerking,Sandwich,Spicy Crispy Chicken Sandwich,5.69,700,25,42,57,8,1.14
burgerking,Sandwich,Original Chicken Sandwich,4.49,660,28,40,48,5,1.17
burgerking,Sandwich,Bacon & Cheese Crispy Chicken Sandwich,6.09,800,30,52,55,8,1.65
burgerking,Sandwich,BBQ Bacon Crispy Chicken Sandwich,6.09,790,28,49,60,13,1.63
burgerking,Sandwich,Crispy Chicken Jr.,1.19,450,12,30,34,5,0.78
burgerking,Sandwich,Spicy Crispy Chicken Jr.,1.19,390,12,21,37,6,0.74
burgerking,Sandwich,Chicken Nuggets- 4pc,1.29,170,8,11,11,0,0.31
burgerking,Sandwich,Chicken Nuggets- 8pc,1,260,12,16,16,0,0.47
burgerking,Salad,Garden Chicken Salad with Crispy Chicken – no dressing,7.09,440,25,25,31,4,0.93
burgerking,Salad,Club Salad with Crispy Chicken – no dressing,7.09,540,31,33,31,5,1.38
burgerking,Salad,Garden Side Salad – w/o dressing,5.59,60,4,4,3,2,0.095
burgerking,Side,Onion Rings – small,1.79,320,3,16,41,4,0.84
burgerking,Side,Onion Rings – medium,2.19,410,4,21,53,5,1.08
burgerking,Side,Onion Rings – large,2.39,500,5,25,64,7,1.31
burgerking,Side,French Fries – small,1.79,320,4,13,49,1,0.3
burgerking,Side,French Fries – medium,2.19,380,4,16,58,1,0.36
burgerking,Side,French Fries – large,2.39,430,5,18,66,2,0.41
burgerking,Dessert,Soft Serve Cone,1,190,5,4.5,32,24,0.15
burgerking,Dessert,Soft Serve Cup,1,170,5,4.5,28,24,0.15
burgerking,Dessert,Sundae,1.59,260,5,5,49,43,0.16
burgerking,Drink,Coca Cola classic® - 16 fl oz,1.79,210,0,0,58,58,0.05
burgerking,Drink,Coca Cola classic® - 20 fl oz,2.09,270,0,0,73,73,0.06
burgerking,Drink,Coca Cola classic® - 29 fl oz,2.39,290,0,0,105,105,0.085
burgerking,Drink,Diet Coke® - 16 fl oz,1.79,0,0,0,0,0,0.07
burgerking,Drink,Diet Coke® - 20 fl oz,2.09,0,0,0,0,0,0.085
burgerking,Drink,Diet Coke® - 29 fl oz,2.39,0,0,0,0,0,0.12
burgerking,Drink,Sprite® - 16 fl oz,1.79,210,0,0,56,56,0.095
burgerking,Drink,Sprite® - 20 fl oz,2.09,260,0,0,70,70,0.12
burgerking,Drink,Sprite® - 29 fl oz,2.39,380,0,0,102,102,0.17
burgerking,Drink,Dr. Pepper® - 16 fl oz,1.79,190,0,0,52,51,0.06
burgerking,Drink,Dr. Pepper® - 20 fl oz,2.09,240,0,0,65,64,0.075
burgerking,Drink,Dr. Pepper® - 29 fl oz,2.39,350,0,0,94,93,0.105
burgerking,Drink,Barq’s® Root Beer - 16 fl oz,1.79,240,0,0,65,65,0.1
burgerking,Drink,Barq’s® Root Beer - 20 fl oz,2.09,300,0,0,81,81,0.12
burgerking,Drink,Barq’s® Root Beer - 29 fl oz,2.39,350,0,0,118,118,0.18
burgerking,Drink,Cherry Coke® - 16 fl oz,1.79,220,0,0,61,61,0.055
burgerking,Drink,Cherry Coke® - 20 fl oz,2.09,280,0,0,76,76,0.07
burgerking,Drink,Cherry Coke® - 29 fl oz,2.39,410,0,0,110,110,0.1
burgerking,Drink,Fanta® Orange - 16 fl oz,1.79,230,0,0,62,61,0.06
