Category,Items,Cost,Calories,Protein,Fat,Carbs,Sodium,Sugar
Sandwich,Whopper® Sandwich,4.19,660,28,40,49,980,11
Sandwich,Double Whopper® Sandwich,5.29,900,48,58,49,1050,11
Sandwich,Triple Whopper® Sandwich,6.39,1130,67,75,49,1120,11
Sandwich,Whopper JR.® Sandwich,2.19,310,13,18,27,390,7
Sandwich,Bacon King Sandwich,6.99,1150,61,79,49,2150,10
Sandwich,IMPOSSIBLE Whopper® Sandwich,5.49,630,25,34,58,1080,12
Sandwich,Hamburger,1.00,240,13,10,26,380,6
Sandwich,Cheeseburger,1.00,280,15,13,27,560,7
Sandwich,Double Cheeseburger,1.69,390,23,21,27,590,7
Sandwich,Bacon Cheeseburger,1.49,320,17,16,27,710,7
Sandwich,Bacon Double Cheeseburger,2.09,420,25,24,27,740,7
Sandwich,Crispy Chicken Sandwich,4.99,670,23,41,54,1080,8
Sandwich,Spicy Crispy Chicken Sandwich,5.69,700,25,42,57,1140,8
Sandwich,Original Chicken Sandwich,4.49,660,28,40,48,1170,5
Sandwich,Bacon & Cheese Crispy Chicken Sandwich,6.09,800,30,52,55,1650,8
Sandwich,BBQ Bacon Crispy Chicken Sandwich,6.09,790,28,49,60,1630,13
Sandwich,Crispy Chicken Jr.,1.19,450,12,30,34,780,5
Sandwich,Spicy Crispy Chicken Jr.,1.19,390,12,21,37,740,6
Sandwich,Chicken Nuggets- 4pc,1.29,170,8,11,11,310,0
Sandwich,Chicken Nuggets- 8pc,1.00,260,12,16,16,470,0
Salad,Garden Chicken Salad with Crispy Chicken – no dressing,7.09,440,25,25,31,930,4
Salad,Club Salad with Crispy Chicken – no dressing,7.09,540,31,33,31,1380,5
Salad,Garden Side Salad – w/o dressing,5.59,60,4,4,3,95,2
Side,Onion Rings – small,1.79,320,3,16,41,840,4
Side,Onion Rings – medium,2.19,410,4,21,53,1080,5
Side,Onion Rings – large,2.39,500,5,25,64,1310,7
Side,French Fries – small,1.79,320,4,13,49,300,1
Side,French Fries – medium,2.19,380,4,16,58,360,1
Side,French Fries – large,2.39,430,5,18,66,410,2
Dessert,Soft Serve Cone,1.00,190,5,4.5,32,150,24
Dessert,Soft Serve Cup,1.00,170,5,4.5,28,150,24
Dessert,Sundae,1.59,260,5,5,49,160,43
Drink,Coca Cola classic® - 16 fl oz,1.79,210,0,0,58,50,58
Drink,Coca Cola classic® - 20 fl oz,2.09,270,0,0,73,60,73
Drink,Coca Cola classic® - 29 fl oz,2.39,290,0,0,105,85,105
Drink,Diet Coke® - 16 fl oz,1.79,0,0,0,0,70,0
Drink,Diet Coke® - 20 fl oz,2.09,0,0,0,0,85,0
Drink,Diet Coke® - 29 fl oz,2.39,0,0,0,0,120,0
Drink,Sprite® - 16 fl oz,1.79,210,0,0,56,95,56
Drink,Sprite® - 20 fl oz,2.09,260,0,0,70,120,70
Drink,Sprite® - 29 fl oz,2.39,380,0,0,102,170,102
