Category,Items,Cost (USD) ,Calories ,Protein (g),Fat (g),Carbs (g),Sugar (g),Sodium (g)
Breakfast,Egg McMuffin,2.79,300,17,13,31,3,0.75
Breakfast,Egg White Delight,2.79,250,18,8,30,3,0.77
Breakfast,Sausage McMuffin,2.79,370,14,23,29,2,0.78
Breakfast,Sausage McMuffin with Egg,2.99,450,21,28,30,2,0.86
Breakfast,Sausage McMuffin with Egg Whites,2.79,400,21,23,30,2,0.88
Breakfast,Steak & Egg McMuffin,3.99,430,26,23,31,3,0.96
Breakfast,"Bacon, Egg & Cheese Biscuit (Regular Biscuit)",3.19,460,19,26,38,3,1.3
Breakfast,"Bacon, Egg & Cheese Biscuit with Egg Whites (Regular Biscuit)",3.19,410,20,20,36,3,1.3
Breakfast,Sausage Biscuit (Regular Biscuit),2.79,430,11,27,34,2,1.08
Breakfast,Sausage Biscuit with Egg (Regular Biscuit),2.99,510,18,33,36,2,1.17
Breakfast,Southern Style Chicken Biscuit (Regular Biscuit),2.99,410,17,20,41,3,1.18
Breakfast,"Bacon, Egg & Cheese McGriddles",2.79,460,19,21,48,15,1.25
Breakfast,"Bacon, Egg & Cheese McGriddles with Egg Whites",3.29,400,20,15,47,16,1.25
Breakfast,Sausage McGriddles,2.79,420,11,22,44,15,1.03
Breakfast,"Sausage, Egg & Cheese McGriddles",2.79,550,20,31,48,15,1.32
Breakfast,"Sausage, Egg & Cheese McGriddles with Egg Whites",3.29,500,21,26,46,15,1.32
Breakfast,"Bacon, Egg & Cheese Bagel",2.79,620,30,31,57,7,1.48
Breakfast,"Bacon, Egg & Cheese Bagel with Egg Whites",3.29,570,30,25,55,8,1.48
Breakfast,"Steak, Egg & Cheese Bagel",3.29,670,33,35,56,7,1.51
Breakfast,Big Breakfast (Regular Biscuit),3.69,740,28,48,51,3,1.56
Breakfast,Big Breakfast (Large Biscuit),5.49,800,28,52,56,3,1.68
Breakfast,Big Breakfast with Egg Whites (Regular Biscuit),5.49,640,26,37,50,3,1.59
Breakfast,Big Breakfast with Hotcakes (Regular Biscuit),5.49,1090,36,56,111,17,2.15
Breakfast,Big Breakfast with Hotcakes and Egg Whites (Regular Biscuit),5.49,990,35,46,110,17,2.17
Breakfast,Hotcakes,2.49,350,8,9,60,14,0.59
Breakfast,Hotcakes and Sausage,3.19,520,15,24,61,14,0.93
Breakfast,Sausage Burrito,2.39,300,12,16,26,2,0.79
Sandwich,Big Mac,3.99,530,24,27,47,9,0.96
Sandwich,Quarter Pounder with Cheese,3.79,520,30,26,41,10,1.1
Sandwich,Double Quarter Pounder with Cheese,4.79,750,48,43,42,10,1.28
Sandwich,Hamburger,0.89,240,12,8,32,6,0.48
Sandwich,Cheeseburger,1,290,15,11,33,7,0.68
Sandwich,Double Cheeseburger,2,430,24,21,35,7,1.04
Sandwich,Bacon Clubhouse Burger,4.49,720,39,40,51,14,1.47
Sandwich,McDouble,1.19,380,22,17,34,7,0.84
Sandwich,McRib,3.69,500,22,26,44,11,0.98
Sandwich,Bacon Clubhouse Crispy Chicken Sandwich,4.49,750,36,38,65,16,1.72
Sandwich,Bacon Clubhouse Grilled Chicken Sandwich,4.49,590,40,25,51,14,1.56
Sandwich,McChicken,1.75,360,14,16,40,5,0.8
Sandwich,Premium McWrap Chicken & Bacon (Crispy Chicken),4.39,630,32,32,56,7,1.54
Sandwich,Premium McWrap Chicken & Bacon (Grilled Chicken),4.39,480,36,19,42,6,1.37
Sandwich,Premium McWrap Chicken & Ranch (Crispy Chicken),4.39,610,27,31,56,8,1.34
Sandwich,Premium McWrap Chicken & Ranch (Grilled Chicken),4.39,450,30,18,42,6,1.17
Sandwich,Premium McWrap Southwest Chicken (Crispy Chicken),4.39,670,27,33,68,12,1.48
Sandwich,Premium McWrap Southwest Chicken (Grilled Chicken),4.39,520,31,20,55,10,1.32
Sandwich,Chicken McNuggets (10 piece),4.49,470,22,30,30,0,0.9
Sandwich,Chicken McNuggets (20 piece),5,940,44,59,59,0,1.8
Sandwich,Chicken McNuggets (40 piece),8.99,1880,87,118,118,1,3.6
Sandwich,Filet-O-Fish,3.79,390,15,19,39,5,0.59
Salad,Premium Bacon Ranch Salad (without Chicken),4.59,140,9,7,10,4,0.3
Salad,Premium Southwest Salad (without Chicken),4.79,140,6,4.5,20,6,0.15
Side,Small French Fries,1.39,230,2,11,30,0,0.13
Side,Medium French Fries,1.79,340,4,16,44,0,0.19
Side,Large French Fries,1.89,510,6,24,67,0,0.29
