Category,Items,Cost,Calories,	Protein (g),	Fat (g),	Carbs (g),Sodium (g),	Sugar (g)
Drink,Iced Coffee,2.65,80,0,0,20,0.01,20
Drink,Iced Coffee with Milk,2.65,110,2,1.5,23,0.04,23
Drink,Teavana® Shaken Iced Black Tea,2.95,45,0,0,11,0.01,11
Drink,Teavana® Shaken Iced Black Tea Lemonade,2.95,90,0,0,23,0.01,22
Drink,Teavana® Shaken Iced Green Tea,2.95,45,0,0,11,0.01,11
Drink,Teavana® Shaken Iced Green Tea Lemonade,2.95,90,0,0,23,0.01,22
Drink,Teavana® Shaken Iced Passion Tango™ Tea,2.95,45,0,0,11,0.01,11
Drink,Teavana® Shaken Iced Passion Tango™ Tea Lemonade,2.95,90,0,0,23,0.01,22
Drink,Blonde Roast,2.10,5,1,0,0,0.01,0
Drink,Featured Dark Roast,2.10,5,1,0,0,0.01,0
Drink,Pike Place® Roast,2.10,5,1,0,0,0.01,0
Drink,Pumpkin Cream Cold Brew,3.25,250,3,12,31,0.055,31
Drink,Starbucks® Cold Brew Coffee,3.25,5,0,0,0,0.015,0
Drink,Starbucks® Cold Brew Coffee with Milk,3.25,35,2,1.5,3,0.04,3
Drink,Vanilla Sweet Cream Cold Brew,3.25,110,1,5,14,0.02,14
Drink,Iced Starbucks® Blonde Caffè Latte,4.55,130,8,4.5,13,0.115,11
Drink,Iced Starbucks® Blonde Caramel Cloud Macchiato,4.45,170,5,4,28,0.115,24
Drink,Iced Starbucks® Blonde Cocoa Cloud Macchiato,4.45,180,6,4.5,30,0.14,25
Drink,Iced Starbucks® Blonde Flat White,4.55,130,8,4.5,13,0.12,11
Drink,Iced Starbucks® Blonde Vanilla Latte,4.55,180,8,4.5,27,0.11,25
Drink,Iced Vanilla Bean Coconutmilk Latte,4.55,180,9,5,26,0.125,25
Drink,Iced White Chocolate Mocha,4.45,300,10,8,47,0.19,46
Drink,Latte Macchiato,4.45,190,12,7,19,0.16,17
Drink,Pumpkin Spice Latte,4.95,310,14,7,50,0.23,48
Drink,Salted Caramel Mocha,4.95,360,12,8,61,0.28,53
Drink,Skinny Mocha,4.65,170,14,1.5,24,0.15,15
Drink,Starbucks Doubleshot® on Ice Beverage,4.95,100,3,1,20,0.04,18
Drink,Starbucks® Blonde Caffè Latte,4.75,190,13,7,19,0.17,18
Drink,Starbucks® Blonde Caramel Cloud Macchiato,4.95,270,11,7,39,0.2,34
Drink,Starbucks® Blonde Cocoa Cloud Macchiato,4.95,280,12,8,41,0.24,36
Drink,Starbucks® Blonde Doubleshot® On Ice,4.95,80,3,1,15,0.04,13
Drink,Starbucks® Blonde Flat White,4.95,180,12,7,18,0.16,17
Drink,Starbucks® Blonde Iced Pumpkin Spice Latte,4.95,220,10,4.5,37,0.17,35
Drink,Starbucks® Blonde Iced Salted Caramel Mocha,4.95,260,8,5,44,0.19,38
Drink,Starbucks® Blonde Pumpkin Spice Latte,4.95,280,13,7,42,0.21,40
Drink,Starbucks® Blonde Salted Caramel Mocha,4.95,320,12,8,50,0.24,43
Drink,Starbucks® Blonde Vanilla Bean Coconutmilk Latte,4.95,190,11,6,23,0.15,21
Drink,Starbucks® Blonde Vanilla Latte,4.95,240,12,7,33,0.16,31
Drink,Vanilla Bean Coconutmilk Latte,4.95,220,11,6,30,0.15,28
Drink,White Chocolate Mocha,4.45,360,14,11,53,0.24,51
Drink,Caffè Vanilla Frappuccino® Blended Coffee,4.45,310,4,2,69,0.23,68
Drink,Caramel Frappuccino® Blended Coffee,4.45,270,4,2,60,0.23,60
Drink,Chai Crème Frappuccino® Blended Crème,4.25,230,4,2.5,49,0.22,48
Drink,Coffee Frappuccino® Blended Coffee,3.95,230,3,2,50,0.22,50
Drink,Double Chocolaty Chip Crème Frappuccino® Blended Crème,5.49,290,6,7,53,0.26,49
Drink,Espresso Frappuccino® Blended Coffee,4.45,220,3,1.5,50,0.21,48
Drink,Java Chip Frappuccino® Blended Coffee,4.45,340,5,6,68,0.26,63
Drink,Matcha Green Tea Crème Frappuccino® Blended Crème,4.45,300,5,3,64,0.23,63
Drink,Mocha Frappuccino® Blended Coffee,4.45,290,4,3,61,0.23,58
Drink,Pumpkin Spice Frappuccino® Blended Beverage,4.95,320,5,2,71,0.28,70
Drink,Pumpkin Spice Frappuccino® Blended Crème,4.95,250,6,2.5,50,0.26,50
Drink,Salted Caramel Mocha Frappuccino® Blended Beverage,4.95,300,4,2.5,65,0.27,62
Drink,Strawberry Frappuccino® Blended Crème,4.95,270,4,2.5,55,0.24,54
Drink,Vanilla Bean Crème Frappuccino® Blended Crème,3.95,270,5,3,56,0.24,56
Drink,White Chocolate Mocha Frappuccino® Blended Coffee,3.95,290,4,3.5,61,0.24,61
Drink,Cinnamon Dolce Crème,4.25,280,12,7,42,0.17,40
Drink,Hot Chocolate,3.25,320,14,9,47,0.16,41
Drink,Pumpkin Spice Crème,4.45,320,15,7,51,0.25,50
Drink,Salted Caramel Hot Chocolate,4.45,390,13,9,66,0.3,59
Drink,Vanilla Crème,3.95,270,12,7,37,0.18,37
Drink,Chai Tea Latte,3.25,240,8,4.5,45,0.115,42
Drink,Chai Tea Latte,3.25,240,6,3.5,47,0.09,43
Drink,Citrus Defender,3.25,160,0,0,39,0.02,35
Drink,Comfort Wellness Brewed Tea,3.25,0,0,0,0,0,0
Drink,Defense Wellness Brewed Tea,3.25,10,0,0,3,0.005,2
Drink,Emperor's Cloud and Mist® Green Tea,3.25,0,0,0,0,0,0
Drink,Honey Citrus Mint Tea,3.25,140,0,0,36,0,33
Drink,Iced Blueberry Black Tea,3.25,100,0,0,24,0.015,21
Drink,Iced Blueberry Black Tea Lemonade,3.25,120,0,0,30,0.015,27
Drink,Iced Chai Tea Latte,3.25,240,7,4,44,0.11,42
Drink,Iced Guava White Tea,3.25,110,0,0,27,0.02,23
Drink,Iced Guava White Tea Lemonade,3.25,130,0,0,33,0.02,29
Drink,Iced Matcha Green Tea Latte,3.25,200,9,5,29,0.12,28
Drink,Iced Matcha Green Tea Latte,3.25,200,8,4,33,0.1,29
Drink,Iced Peach Green Tea,3.25,100,0,0,25,0.02,23
Drink,Iced Peach Green Tea Lemonade,3.25,130,0,0,31,0.02,29
Drink,Jade Citrus Mint Green Tea,3.25,0,0,0,0,0,0
Drink,Jade Citrus Mint™ Brewed Tea,3.25,0,0,0,0,0,0
Drink,Matcha Green Tea Latte,3.25,240,12,7,34,0.16,32
Drink,Matcha Lemonade,3.25,120,1,0,29,0.01,27
Drink,Mint Majesty™ Herbal Tea,3.25,0,0,0,0,0,0
Drink,Peach Tranquility® Herbal Tea,3.25,0,0,0,0,0,0
Drink,Rev Up Wellness Brewed Tea,3.25,0,0,0,0,0,0
Drink,Royal English Breakfast Tea,3.25,0,0,0,0,0,0
Drink,Royal English Breakfast Tea Latte,3.25,150,7,4,21,0.105,21
Drink,Teavana® Chai Tea,3.25,0,0,0,0,0,0
Drink,Teavana® Earl Grey Brewed Tea,3.25,0,0,0,0,0,0
Drink,Teavana® London Fog Tea Latte,3.25,180,7,4,29,0.105,29
Drink,Teavana® Shaken Iced Black Tea,3.25,45,0,0,11,0.01,11
Drink,Teavana® Shaken Iced Black Tea Lemonade,3.25,90,0,0,23,0.01,22
Drink,Teavana® Shaken Iced Green Tea,3.25,45,0,0,11,0.01,11
Drink,Teavana® Shaken Iced Green Tea Lemonade,3.25,90,0,0,23,0.01,22
Drink,Teavana® Shaken Iced Passion Tango™ Tea,3.25,45,0,0,11,0.01,11
Drink,Teavana® Shaken Iced Passion Tango™ Tea Lemonade,3.25,90,0,0,23,0.01,22
