,Category,Price,Serving Size (g),Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Dietary Fiber (g),Sugars (g),Protein (g),Vitamin A % DV,Vitamin C % DV,Calcium % DV,Iron % DV
Black Forest Ham,Sandwich,4.99,219,260,4,1.5,0,30,720,42,5,8,18,30,15,4,15
Chicken & Bacon Ranch Melt,Sandwich,6.29,284,530,26,10,0.5,100,1100,41,3,6,36,40,25,20,20
Classic Tuna,Sandwich,5.29,223,450,25,4.5,0,40,610,38,2,5,19,15,15,0,20
Cold Cut Combo,Sandwich,3.99,213,320,12,3.5,0,45,1060,40,2,5,16,15,15,6,20
Meatball Marinara,Sandwich,4.99,205,420,18,7,1,40,1040,47,4,7,19,10,10,6,20
Ham & Jack Slider,Sandwich,1.89,62,150,4.5,2,0,20,470,18,1,1,8,2,0,4,6
Italian Spice Slider,Sandwich,1.89,64,230,14,5,0,30,690,18,1,2,8,2,6,4,8
Little Cheesesteak Slider,Sandwich,2.39,64,170,7,2,0,15,430,19,1,2,7,2,4,2,6
Steak Club,Sandwich,7.29,225,490,25,7,0,70,1330,40,2,6,27,15,10,6,20
Ultimate Steak,Sandwich,7.49,216,600,35,14,1,80,1330,42,3,6,31,30,8,20,20
Roast Beef,Sandwich,6.29,233,280,4.5,1.5,0,45,630,40,6,7,25,30,15,2,20
Rotisserie-Style Chicken,Sandwich,5.29,247,310,6,2.5,0,55,520,40,5,7,28,30,15,2,15
Spicy Italian,Sandwich,5.99,208,450,24,9,0,60,1240,40,3,5,18,15,25,4,20
Subway Club®,Sandwich,6.29,240,280,4,1,0,45,780,41,5,7,25,30,15,4,20
Sweet Onion Chicken Teriyaki,Sandwich,5.29,265,320,4,1,0,50,720,52,5,16,25,30,20,4,15
Turkey & Bacon Guacamole,Sandwich,8.29,511,780,27,6,0,90,2200,87,9,11,49,30,45,10,35
Turkey Breast,Sandwich,5.29,219,250,3,0.5,0,30,690,41,5,6,20,30,15,4,15
Veggie Delite®,Sandwich,3.49,162,190,2,0.5,0,0,240,39,5,6,9,30,15,2,15
Black Forest Ham,Salad,7.99,344,120,3,1,0,30,550,12,4,6,13,70,35,6,10
Chicken & Bacon Ranch,Salad,8.78,430,460,33,11,0.5,105,1000,13,4,7,32,80,45,20,15
Cold Cut Combo,Salad,6.49,352,180,11,3.5,0,45,830,12,4,5,12,70,35,8,15
Meatball Marinara,Salad,6.48,427,290,16,6,1,40,780,22,7,9,15,80,45,10,20
Roast Beef,Salad,8.78,359,140,3.5,1,0,45,460,10,4,5,19,70,35,4,20
Rotisserie-Style Chicken,Salad,7.78,373,170,5,2,0,55,360,10,4,5,23,70,35,4,10
Steak & Cheese,Salad,8.78,370,200,9,4.5,0,50,830,13,4,7,19,70,35,10,15
Steak Club Salad,Salad,7.99,610,480,26,10,0.5,120,2050,21,6,9,44,110,60,20,25
Subway Club®,Salad,8.78,366,140,3,1,0,45,610,11,4,5,19,70,35,6,15
Sweet Onion Chicken Teriyaki,Salad,7.78,409,210,3,0.5,0,50,620,30,4,21,19,70,40,6,15
Tuna,Salad,7.78,362,310,24,4,0,40,370,10,4,5,15,70,35,4,15
Turkey Breast,Salad,7.78,344,110,2,0,0,30,520,11,4,5,14,70,35,6,10
Veggie Delite®,Salad,5.98,288,50,1,0,0,0,75,9,4,5,3,70,35,4,8
"Bacon, Egg & Cheese",Breakfast,4.29,198,450,20,7,0,190,1200,45,4,4,24,20,6,10,15
"Black Forest Ham, Egg & Cheese",Breakfast,4.29,212,410,16,5,0,185,1180,45,4,4,24,20,0,10,15
Egg & Cheese,Breakfast,3.99,183,380,15,4.5,0,170,950,44,4,3,19,20,0,10,15
"Steak, Egg & Cheese",Breakfast,4.29,226,440,18,6,0,195,1270,46,4,4,27,20,0,10,20
Caramel Apple Cookie,Dessert,0.6,51,210,6,3,0,10,65,37,0,26,2,0,0,0,6
Chocolate Chip Cookie,Dessert,0.6,45,210,10,5,0,10,120,29,1,18,2,10,0,0,10
Chocolate Chip with M&M,Dessert,0.6,45,210,10,5,0,15,100,30,1,18,2,0,0,0,6
Chocolate Chunk Cookie,Dessert,0.6,45,210,10,5,0,10,100,30,1,17,2,0,0,0,8
Dark Chocolate Cherry Cookie,Dessert,0.6,47,200,8,4,0,0,100,33,1,24,2,10,0,0,8
Double Chocolate,Dessert,0.6,45,210,9,5,0,15,130,30,1,20,2,10,0,0,10
Oatmeal Raisin Cookie,Dessert,0.6,45,200,8,3.5,0,15,130,30,1,16,3,0,0,0,6
Raspberry Cheesecake Cookie,Dessert,0.6,45,200,9,4.5,0,15,120,29,0,16,2,10,0,0,4
Raspberry Lemonade Cookie,Dessert,0.6,47,230,11,6,0,10,100,31,0,20,2,0,0,0,4
Sugar Cookie,Dessert,0.6,45,230,12,6,0,15,130,28,1,14,2,0,0,0,4
White Chip Macadamia Nut Cookie,Dessert,0.6,45,220,11,5,0,15,130,28,1,17,2,10,0,0,6
